id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
0,11 Comae Berenices b,,,,
1,11 Ursae Minoris b,,,,
2,14 Andromedae b,,,,
3,14 Herculis b,,,,
4,16 Cygni B b,,,,
5,17 Scorpii b,,,,
6,18 Delphini b,,,,
7,1RXS J160929.1-210524 b,,,,
8,24 Bootis b,,,,
9,24 Sextantis b,,,,
10,24 Sextantis c,,,,
11,2M0437 b,,,,
12,2MASS J01033563-5515561 AB b,,,,
13,2MASS J01225093-2439505 b,,,,
14,2MASS J02192210-3925225 b,,,,
15,2MASS J04414489+2301513 b,,,,
16,2MASS J12073346-3932539 b,,,,
17,2MASS J19383260+4603591 b,,,,
18,2MASS J22362452+4751425 b,,,,
19,30 Arietis B b,,,,
20,42 Draconis b,,,,
21,47 Ursae Majoris b,,,,
22,47 Ursae Majoris c,,,,
23,47 Ursae Majoris d,,,,
24,4 Ursae Majoris b,,,,
25,11 Comae Berenices b,,,,
26,11 Ursae Minoris b,,,,
27,14 Andromedae b,,,,
28,14 Herculis b,,,,
29,16 Cygni B b,,,,
30,17 Scorpii b,,,,
31,18 Delphini b,,,,
32,1RXS J160929.1-210524 b,,,,
33,24 Bootis b,,,,
34,24 Sextantis b,,,,
35,24 Sextantis c,,,,
36,2M0437 b,,,,
37,2MASS J01033563-5515561 AB b,,,,
38,2MASS J01225093-2439505 b,,,,
39,2MASS J02192210-3925225 b,,,,
40,2MASS J04414489+2301513 b,,,,
41,2MASS J12073346-3932539 b,,,,
42,2MASS J19383260+4603591 b,,,,
43,2MASS J22362452+4751425 b,,,,
44,30 Arietis B b,,,,
45,42 Draconis b,,,,
46,47 Ursae Majoris b,,,,
47,47 Ursae Majoris c,,,,
48,47 Ursae Majoris d,,,,
49,4 Ursae Majoris b,,,,
50,11 Comae Berenices b,,,,
51,11 Ursae Minoris b,,,,
52,14 Andromedae b,,,,
53,14 Herculis b,,,,
54,16 Cygni B b,,,,
55,17 Scorpii b,,,,
56,18 Delphini b,,,,
57,1RXS J160929.1-210524 b,,,,
58,24 Bootis b,,,,
59,24 Sextantis b,,,,
60,24 Sextantis c,,,,
61,2M0437 b,,,,
62,2MASS J01033563-5515561 AB b,,,,
63,2MASS J01225093-2439505 b,,,,
64,2MASS J02192210-3925225 b,,,,
65,2MASS J04414489+2301513 b,,,,
66,2MASS J12073346-3932539 b,,,,
67,2MASS J19383260+4603591 b,,,,
68,2MASS J22362452+4751425 b,,,,
69,30 Arietis B b,,,,
70,42 Draconis b,,,,
71,47 Ursae Majoris b,,,,
72,47 Ursae Majoris c,,,,
73,47 Ursae Majoris d,,,,
74,4 Ursae Majoris b,,,,
75,11 Comae Berenices b,,,,
76,11 Ursae Minoris b,,,,
77,14 Andromedae b,,,,
78,14 Herculis b,,,,
79,16 Cygni B b,,,,
80,17 Scorpii b,,,,
81,18 Delphini b,,,,
82,1RXS J160929.1-210524 b,,,,
83,24 Bootis b,,,,
84,24 Sextantis b,,,,
85,24 Sextantis c,,,,
86,2M0437 b,,,,
87,2MASS J01033563-5515561 AB b,,,,
88,2MASS J01225093-2439505 b,,,,
89,2MASS J02192210-3925225 b,,,,
90,2MASS J04414489+2301513 b,,,,
91,2MASS J12073346-3932539 b,,,,
92,2MASS J19383260+4603591 b,,,,
93,2MASS J22362452+4751425 b,,,,
94,30 Arietis B b,,,,
95,42 Draconis b,,,,
96,47 Ursae Majoris b,,,,
97,47 Ursae Majoris c,,,,
98,47 Ursae Majoris d,,,,
99,4 Ursae Majoris b,,,,
100,11 Comae Berenices b,,,,
101,11 Ursae Minoris b,,,,
102,14 Andromedae b,,,,
103,14 Herculis b,,,,
104,16 Cygni B b,,,,
105,17 Scorpii b,,,,
106,18 Delphini b,,,,
107,1RXS J160929.1-210524 b,,,,
108,24 Bootis b,,,,
109,24 Sextantis b,,,,
110,24 Sextantis c,,,,
111,2M0437 b,,,,
112,2MASS J01033563-5515561 AB b,,,,
113,2MASS J01225093-2439505 b,,,,
114,2MASS J02192210-3925225 b,,,,
115,2MASS J04414489+2301513 b,,,,
116,2MASS J12073346-3932539 b,,,,
117,2MASS J19383260+4603591 b,,,,
118,2MASS J22362452+4751425 b,,,,
119,30 Arietis B b,,,,
120,42 Draconis b,,,,
121,47 Ursae Majoris b,,,,
122,47 Ursae Majoris c,,,,
123,47 Ursae Majoris d,,,,
124,4 Ursae Majoris b,,,,
125,11 Comae Berenices b,,,,
126,11 Ursae Minoris b,,,,
127,14 Andromedae b,,,,
128,14 Herculis b,,,,
129,16 Cygni B b,,,,
130,17 Scorpii b,,,,
131,18 Delphini b,,,,
132,1RXS J160929.1-210524 b,,,,
133,24 Bootis b,,,,
134,24 Sextantis b,,,,
135,24 Sextantis c,,,,
136,2M0437 b,,,,
137,2MASS J01033563-5515561 AB b,,,,
138,2MASS J01225093-2439505 b,,,,
139,2MASS J02192210-3925225 b,,,,
140,2MASS J04414489+2301513 b,,,,
141,2MASS J12073346-3932539 b,,,,
142,2MASS J19383260+4603591 b,,,,
143,2MASS J22362452+4751425 b,,,,
144,30 Arietis B b,,,,
145,42 Draconis b,,,,
146,47 Ursae Majoris b,,,,
147,47 Ursae Majoris c,,,,
148,47 Ursae Majoris d,,,,
149,4 Ursae Majoris b,,,,
150,11 Comae Berenices b,,,,
151,11 Ursae Minoris b,,,,
152,14 Andromedae b,,,,
153,14 Herculis b,,,,
154,16 Cygni B b,,,,
155,17 Scorpii b,,,,
156,18 Delphini b,,,,
157,1RXS J160929.1-210524 b,,,,
158,24 Bootis b,,,,
159,24 Sextantis b,,,,
160,24 Sextantis c,,,,
161,2M0437 b,,,,
162,2MASS J01033563-5515561 AB b,,,,
163,2MASS J01225093-2439505 b,,,,
164,2MASS J02192210-3925225 b,,,,
165,2MASS J04414489+2301513 b,,,,
166,2MASS J12073346-3932539 b,,,,
167,2MASS J19383260+4603591 b,,,,
168,2MASS J22362452+4751425 b,,,,
169,30 Arietis B b,,,,
170,42 Draconis b,,,,
171,47 Ursae Majoris b,,,,
172,47 Ursae Majoris c,,,,
173,47 Ursae Majoris d,,,,
174,4 Ursae Majoris b,,,,
175,11 Comae Berenices b,,,,
176,11 Ursae Minoris b,,,,
177,14 Andromedae b,,,,
178,14 Herculis b,,,,
179,16 Cygni B b,,,,
180,17 Scorpii b,,,,
181,18 Delphini b,,,,
182,1RXS J160929.1-210524 b,,,,
183,24 Bootis b,,,,
184,24 Sextantis b,,,,
185,24 Sextantis c,,,,
186,2M0437 b,,,,
187,2MASS J01033563-5515561 AB b,,,,
188,2MASS J01225093-2439505 b,,,,
189,2MASS J02192210-3925225 b,,,,
190,2MASS J04414489+2301513 b,,,,
191,2MASS J12073346-3932539 b,,,,
192,2MASS J19383260+4603591 b,,,,
193,2MASS J22362452+4751425 b,,,,
194,30 Arietis B b,,,,
195,42 Draconis b,,,,
196,47 Ursae Majoris b,,,,
197,47 Ursae Majoris c,,,,
198,47 Ursae Majoris d,,,,
